text,label
"Government announces new education policy to improve literacy rates",REAL
"Scientists confirm drinking hot water cures all diseases instantly",FAKE
"Stock markets see significant growth after economic reforms",REAL
"Aliens have landed in New York and are living among humans",FAKE
"New technology promises faster internet speeds across rural areas",REAL
"Celebrity claims earth is flat and provides no scientific proof",FAKE
"Researchers develop vaccine showing promising results in trials",REAL
"Man builds time machine using household items",FAKE
"Local authorities improve infrastructure to reduce traffic congestion",REAL
"Miracle pill guarantees weight loss without diet or exercise",FAKE
"Government launches initiative to support small businesses",REAL
"Fake news website claims sun will not rise tomorrow",FAKE
"Education sector receives increased funding in budget",REAL
"Secret society controls global weather patterns",FAKE
"New study reveals benefits of regular exercise",REAL
"Man claims he can turn invisible at will",FAKE
"Healthcare improvements lead to lower mortality rates",REAL
"Breaking: dinosaurs spotted alive in Amazon rainforest",FAKE
"Technology companies invest heavily in artificial intelligence",REAL
"Scientists discover chocolate can replace all medicines",FAKE
